로트번호,시각,설비호기,교대조,건조_ZONE1_TEMP,건조_ZONE2_TEMP,프레스_1호기_압력,코팅_로딩_mg_cm2,전극_밀도,화성_3단계_CV_전압,NMP_투입비,에이징_시간_h,판정
LOT-2026-1200,2026-08-03 07:15:00,2호기,주간,129.7,119.0,1535.0,21.25,3.475,4.204,0.4,23.7,양품
LOT-2026-1200,2026-08-03 07:18:00,3호기,주간,127.7,120.0,1429.0,21.19,3.433,4.172,0.41,23.9,양품
LOT-2026-1200,2026-08-03 07:21:00,4호기,주간,129.7,122.3,1318.0,19.98,3.474,4.18,0.415,36.3,불량
LOT-2026-1200,2026-08-03 07:24:00,1호기,주간,132.6,119.9,1434.0,21.13,3.443,4.211,0.422,23.5,불량
LOT-2026-1200,2026-08-03 07:27:00,2호기,주간,134.3,119.4,1309.0,20.42,3.455,4.203,0.424,35.6,양품
LOT-2026-1200,2026-08-03 07:30:00,3호기,주간,130.9,121.4,1380.0,20.2,3.395,4.193,0.423,35.9,불량
LOT-2026-1200,2026-08-03 07:33:00,4호기,주간,132.2,113.3,1462.0,21.2,3.37,4.188,0.401,23.7,양품
LOT-2026-1200,2026-08-03 07:36:00,1호기,주간,137.1,114.2,1396.0,21.73,3.432,4.19,0.414,47.5,양품
LOT-2026-1200,2026-08-03 07:39:00,2호기,주간,132.8,114.2,1418.0,19.91,3.472,4.191,0.452,23.3,불량
LOT-2026-1200,2026-08-03 07:42:00,3호기,주간,131.1,119.2,1432.0,20.5,3.476,4.191,0.418,24.5,양품
LOT-2026-1200,2026-08-03 07:45:00,4호기,주간,132.3,123.2,1422.0,20.96,3.452,4.177,0.362,48.2,양품
LOT-2026-1200,2026-08-03 07:48:00,1호기,주간,131.9,122.9,1508.0,21.24,3.551,4.194,0.389,24.3,양품
LOT-2026-1200,2026-08-03 07:51:00,2호기,주간,130.8,117.2,1415.0,22.51,3.444,4.186,0.415,23.4,불량
LOT-2026-1200,2026-08-03 07:54:00,3호기,주간,132.7,117.0,1389.0,21.05,3.527,4.182,0.388,47.2,양품
LOT-2026-1200,2026-08-03 07:57:00,4호기,주간,131.5,115.6,1488.0,21.72,3.446,4.189,0.423,23.7,양품
LOT-2026-1201,2026-08-03 08:00:00,1호기,주간,132.4,116.8,1451.0,19.73,3.483,4.196,0.422,48.5,불량
LOT-2026-1201,2026-08-03 08:03:00,2호기,주간,133.4,118.0,1479.0,21.63,3.464,4.197,0.453,48.7,양품
LOT-2026-1201,2026-08-03 08:06:00,3호기,주간,132.9,117.5,1360.0,22.0,3.509,4.19,0.428,23.6,양품
LOT-2026-1201,2026-08-03 08:09:00,4호기,주간,130.1,118.3,1507.0,21.21,3.487,4.196,0.422,23.8,양품
LOT-2026-1201,2026-08-03 08:12:00,1호기,주간,132.1,117.0,1519.0,20.35,3.458,4.194,0.424,24.5,양품
LOT-2026-1201,2026-08-03 08:15:00,2호기,주간,130.6,119.5,1442.0,21.21,3.458,4.195,0.441,36.2,양품
LOT-2026-1201,2026-08-03 08:18:00,3호기,주간,134.4,116.6,1437.0,20.39,3.493,4.199,0.456,35.8,양품
LOT-2026-1201,2026-08-03 08:21:00,4호기,주간,134.6,118.6,1455.0,21.45,3.482,4.191,0.38,24.0,양품
LOT-2026-1201,2026-08-03 08:24:00,1호기,주간,128.0,117.2,1380.0,21.28,3.481,4.182,0.428,36.5,양품
LOT-2026-1201,2026-08-03 08:27:00,2호기,주간,131.4,117.5,1517.0,20.21,3.494,4.197,0.417,48.2,양품
LOT-2026-1201,2026-08-03 08:30:00,3호기,주간,128.2,118.8,1417.0,22.1,3.51,4.211,0.425,36.4,양품
LOT-2026-1201,2026-08-03 08:33:00,4호기,주간,132.2,118.2,1384.0,20.33,3.463,4.183,0.425,48.0,양품
LOT-2026-1201,2026-08-03 08:36:00,1호기,주간,130.1,118.5,1413.0,21.42,3.427,4.186,0.409,23.7,양품
LOT-2026-1201,2026-08-03 08:39:00,2호기,주간,129.3,116.0,1356.0,21.58,3.445,4.182,0.399,24.2,양품
LOT-2026-1201,2026-08-03 08:42:00,3호기,주간,133.1,115.4,1596.0,21.49,3.419,4.188,0.423,35.7,양품
LOT-2026-1201,2026-08-03 08:45:00,4호기,주간,136.3,117.2,1433.0,21.12,3.491,4.179,0.414,23.7,양품
LOT-2026-1201,2026-08-03 08:48:00,1호기,주간,133.1,116.8,1505.0,21.06,3.453,4.175,0.432,36.1,양품
LOT-2026-1201,2026-08-03 08:51:00,2호기,주간,132.4,121.7,1423.0,21.76,3.445,4.18,0.441,48.3,양품
LOT-2026-1201,2026-08-03 08:54:00,3호기,주간,134.2,118.9,1476.0,20.16,3.46,4.213,0.394,48.1,양품
LOT-2026-1201,2026-08-03 08:57:00,4호기,주간,131.3,120.5,1410.0,21.21,3.587,4.175,0.432,23.6,양품
LOT-2026-1201,2026-08-03 09:00:00,1호기,주간,133.5,116.7,1448.0,21.11,3.451,4.184,0.405,24.7,양품
LOT-2026-1201,2026-08-03 09:03:00,2호기,주간,131.3,122.7,1317.0,21.62,3.588,4.192,0.385,23.7,양품
LOT-2026-1201,2026-08-03 09:06:00,3호기,주간,132.1,118.1,1439.0,21.95,3.504,4.186,0.423,23.6,불량
LOT-2026-1201,2026-08-03 09:09:00,4호기,주간,131.9,120.0,1405.0,20.88,3.468,4.196,0.436,48.2,양품
LOT-2026-1201,2026-08-03 09:12:00,1호기,주간,130.9,117.6,1549.0,22.01,3.486,4.196,0.445,36.0,양품
LOT-2026-1201,2026-08-03 09:15:00,2호기,주간,132.7,115.6,1524.0,20.98,3.415,4.194,0.431,47.9,양품
LOT-2026-1201,2026-08-03 09:18:00,3호기,주간,132.2,118.4,1519.0,20.2,3.446,4.189,0.401,23.8,불량
LOT-2026-1201,2026-08-03 09:21:00,4호기,주간,137.1,117.8,1381.0,21.02,3.445,4.184,0.436,48.2,양품
LOT-2026-1201,2026-08-03 09:24:00,1호기,주간,130.0,121.3,1388.0,20.91,3.509,4.2,0.407,24.3,양품
LOT-2026-1201,2026-08-03 09:27:00,2호기,주간,133.1,116.2,1433.0,21.7,3.473,4.197,0.445,35.7,양품
LOT-2026-1201,2026-08-03 09:30:00,3호기,주간,134.1,119.3,1443.0,20.92,3.477,4.208,0.417,48.1,양품
LOT-2026-1201,2026-08-03 09:33:00,4호기,주간,134.0,120.7,1399.0,20.96,3.464,4.19,0.472,25.2,양품
LOT-2026-1201,2026-08-03 09:36:00,1호기,주간,133.5,119.8,1415.0,21.52,3.476,4.189,0.431,24.1,양품
LOT-2026-1201,2026-08-03 09:39:00,2호기,주간,130.2,120.9,1411.0,20.99,3.502,4.202,0.437,24.2,양품
LOT-2026-1201,2026-08-03 09:42:00,3호기,주간,127.5,113.4,1345.0,22.05,3.492,4.197,0.456,24.4,양품
LOT-2026-1201,2026-08-03 09:45:00,4호기,주간,133.6,114.7,1440.0,21.73,3.424,4.198,0.423,24.7,양품
LOT-2026-1201,2026-08-03 09:48:00,1호기,주간,129.5,120.4,1470.0,21.56,3.417,4.192,0.41,24.4,양품
LOT-2026-1201,2026-08-03 09:51:00,2호기,주간,130.9,119.9,1430.0,20.72,3.433,4.196,0.444,23.7,양품
LOT-2026-1201,2026-08-03 09:54:00,3호기,주간,132.7,120.2,1358.0,21.47,3.399,4.184,0.424,24.2,양품
LOT-2026-1201,2026-08-03 09:57:00,4호기,주간,132.4,118.3,1377.0,21.62,3.496,4.192,0.421,48.1,양품
LOT-2026-1202,2026-08-03 10:00:00,1호기,주간,132.3,118.7,1454.0,20.86,3.516,4.174,0.409,24.3,양품
LOT-2026-1202,2026-08-03 10:03:00,2호기,주간,133.3,118.4,1468.0,20.49,3.484,4.186,0.426,23.6,양품
LOT-2026-1202,2026-08-03 10:06:00,3호기,주간,132.1,121.0,1527.0,21.73,3.448,4.19,0.43,23.8,양품
LOT-2026-1202,2026-08-03 10:09:00,4호기,주간,133.6,122.4,1453.0,21.97,3.409,4.188,0.42,23.6,양품
LOT-2026-1202,2026-08-03 10:12:00,1호기,주간,133.3,119.6,1428.0,20.89,3.468,4.181,0.42,36.2,양품
LOT-2026-1202,2026-08-03 10:15:00,2호기,주간,132.2,120.8,1435.0,21.15,3.475,4.188,0.408,47.7,양품
LOT-2026-1202,2026-08-03 10:18:00,3호기,주간,131.4,120.2,1446.0,21.33,3.415,4.179,0.44,24.4,양품
LOT-2026-1202,2026-08-03 10:21:00,4호기,주간,132.0,116.4,1396.0,21.55,3.499,4.186,0.395,23.6,양품
LOT-2026-1202,2026-08-03 10:24:00,1호기,주간,129.1,116.5,1446.0,22.2,3.459,4.197,0.442,23.7,양품
LOT-2026-1202,2026-08-03 10:27:00,2호기,주간,133.2,123.6,1413.0,21.56,3.503,4.195,0.423,24.8,양품
LOT-2026-1202,2026-08-03 10:30:00,3호기,주간,132.0,119.6,1369.0,20.6,3.451,4.176,0.402,24.9,양품
LOT-2026-1202,2026-08-03 10:33:00,4호기,주간,133.0,119.7,1471.0,21.31,3.567,4.194,0.434,24.2,양품
LOT-2026-1202,2026-08-03 10:36:00,1호기,주간,132.5,117.2,1276.0,21.12,3.478,4.182,0.414,23.9,양품
LOT-2026-1202,2026-08-03 10:39:00,2호기,주간,130.4,118.1,1430.0,21.7,3.391,4.191,0.444,35.9,양품
LOT-2026-1202,2026-08-03 10:42:00,3호기,주간,130.7,119.6,1426.0,20.89,3.527,4.178,0.417,23.7,양품
LOT-2026-1202,2026-08-03 10:45:00,4호기,주간,134.5,123.6,1460.0,21.57,3.488,4.191,0.411,47.8,양품
LOT-2026-1202,2026-08-03 10:48:00,1호기,주간,130.3,119.2,1514.0,20.45,3.504,4.173,0.409,24.6,양품
LOT-2026-1202,2026-08-03 10:51:00,2호기,주간,130.3,118.5,1525.0,21.06,3.5,4.203,0.457,24.6,양품
LOT-2026-1202,2026-08-03 10:54:00,3호기,주간,129.9,117.5,1473.0,21.67,3.45,4.186,0.433,24.0,양품
LOT-2026-1202,2026-08-03 10:57:00,4호기,주간,129.8,121.7,1481.0,20.9,3.447,4.183,0.407,36.1,양품
LOT-2026-1202,2026-08-03 11:00:00,1호기,주간,130.4,120.3,1447.0,20.76,3.492,4.193,0.405,36.4,양품
LOT-2026-1202,2026-08-03 11:03:00,2호기,주간,133.2,118.8,1353.0,20.58,3.524,4.177,0.38,24.6,양품
LOT-2026-1202,2026-08-03 11:06:00,3호기,주간,131.6,120.2,1395.0,21.55,3.441,4.177,0.418,36.3,양품
LOT-2026-1202,2026-08-03 11:09:00,4호기,주간,132.0,117.2,1450.0,20.48,3.479,4.209,0.404,36.7,양품
LOT-2026-1202,2026-08-03 11:12:00,1호기,주간,132.2,117.4,1451.0,21.31,3.545,4.187,0.39,47.4,양품
LOT-2026-1202,2026-08-03 11:15:00,2호기,주간,135.3,117.8,1490.0,21.45,3.485,4.197,0.367,47.5,양품
LOT-2026-1202,2026-08-03 11:18:00,3호기,주간,132.7,118.8,1454.0,21.19,3.488,4.196,0.422,24.1,양품
LOT-2026-1202,2026-08-03 11:21:00,4호기,주간,129.7,131.4,1469.0,20.66,3.475,4.19,0.426,36.1,양품
LOT-2026-1202,2026-08-03 11:24:00,1호기,주간,129.6,118.7,1510.0,21.94,3.523,4.204,0.413,24.1,양품
LOT-2026-1202,2026-08-03 11:27:00,2호기,주간,129.9,121.9,1404.0,21.03,3.431,4.193,0.453,24.0,양품
LOT-2026-1202,2026-08-03 11:30:00,3호기,주간,131.7,119.2,1472.0,21.61,3.598,4.191,0.394,23.4,양품
LOT-2026-1202,2026-08-03 11:33:00,4호기,주간,132.2,115.2,1425.0,20.89,3.503,4.194,0.427,36.4,양품
LOT-2026-1202,2026-08-03 11:36:00,1호기,주간,132.4,118.7,1429.0,21.16,3.508,4.21,0.422,36.1,양품
LOT-2026-1202,2026-08-03 11:39:00,2호기,주간,132.4,119.9,1411.0,20.84,3.477,4.188,0.43,36.7,양품
LOT-2026-1202,2026-08-03 11:42:00,3호기,주간,132.9,117.9,1442.0,22.18,3.465,4.19,0.442,36.2,양품
LOT-2026-1202,2026-08-03 11:45:00,4호기,주간,129.9,117.8,1510.0,21.19,3.503,4.182,0.43,24.0,양품
LOT-2026-1202,2026-08-03 11:48:00,1호기,주간,133.3,118.0,1575.0,21.07,3.471,4.179,0.417,36.0,양품
LOT-2026-1202,2026-08-03 11:51:00,2호기,주간,128.3,121.8,1427.0,20.93,3.459,4.196,0.429,48.0,양품
LOT-2026-1202,2026-08-03 11:54:00,3호기,주간,132.6,118.7,1492.0,19.7,3.435,4.197,0.419,48.3,불량
LOT-2026-1202,2026-08-03 11:57:00,4호기,주간,133.0,114.3,1430.0,21.2,3.493,4.198,0.43,24.3,양품
LOT-2026-1203,2026-08-03 12:00:00,1호기,주간,131.3,118.3,1540.0,20.5,3.485,4.172,0.435,48.4,양품
LOT-2026-1203,2026-08-03 12:03:00,2호기,주간,129.3,114.7,1505.0,21.32,3.464,4.182,0.424,48.2,양품
LOT-2026-1203,2026-08-03 12:06:00,3호기,주간,134.0,120.2,1544.0,21.24,3.5,4.189,0.411,24.1,양품
LOT-2026-1203,2026-08-03 12:09:00,4호기,주간,132.7,121.1,1477.0,20.92,3.473,4.185,0.444,36.0,양품
LOT-2026-1203,2026-08-03 12:12:00,1호기,주간,130.7,119.2,1454.0,21.13,3.5,4.183,0.409,47.7,양품
LOT-2026-1203,2026-08-03 12:15:00,2호기,주간,130.9,117.9,1462.0,20.89,3.478,4.19,0.401,24.1,양품
LOT-2026-1203,2026-08-03 12:18:00,3호기,주간,130.5,120.7,1483.0,20.88,3.544,4.196,0.412,47.9,양품
LOT-2026-1203,2026-08-03 12:21:00,4호기,주간,129.9,120.0,1480.0,20.1,3.466,4.183,0.408,35.8,양품
LOT-2026-1203,2026-08-03 12:24:00,1호기,주간,134.8,121.2,1456.0,21.43,3.513,4.196,0.435,47.3,양품
LOT-2026-1203,2026-08-03 12:27:00,2호기,주간,129.0,122.0,1432.0,21.63,3.504,4.193,0.409,36.0,양품
LOT-2026-1203,2026-08-03 12:30:00,3호기,주간,130.5,115.2,1492.0,21.14,3.486,4.195,0.407,35.7,불량
LOT-2026-1203,2026-08-03 12:33:00,4호기,주간,130.0,117.9,1423.0,20.48,3.594,4.185,0.407,24.0,불량
LOT-2026-1203,2026-08-03 12:36:00,1호기,주간,132.1,115.7,1433.0,21.05,3.426,4.192,0.434,23.3,양품
LOT-2026-1203,2026-08-03 12:39:00,2호기,주간,129.6,116.7,1486.0,19.88,3.439,4.186,0.416,23.7,불량
LOT-2026-1203,2026-08-03 12:42:00,3호기,주간,131.3,118.4,1491.0,21.13,3.486,4.158,0.406,24.1,양품
LOT-2026-1203,2026-08-03 12:45:00,4호기,주간,133.2,116.9,1450.0,21.13,3.501,4.193,0.4,23.8,양품
LOT-2026-1203,2026-08-03 12:48:00,1호기,주간,129.1,122.1,1466.0,22.49,3.383,4.192,0.419,24.1,불량
LOT-2026-1203,2026-08-03 12:51:00,2호기,주간,132.3,117.9,1392.0,20.65,3.452,4.184,0.387,24.5,양품
LOT-2026-1203,2026-08-03 12:54:00,3호기,주간,132.4,116.3,1515.0,21.37,3.459,4.197,0.448,48.7,양품
LOT-2026-1203,2026-08-03 12:57:00,4호기,주간,134.5,118.3,1508.0,21.75,3.481,4.186,0.436,36.2,양품
LOT-2026-1203,2026-08-03 13:00:00,1호기,주간,133.7,117.1,1511.0,21.29,3.552,4.195,0.417,35.8,양품
LOT-2026-1203,2026-08-03 13:03:00,2호기,주간,129.8,116.4,1407.0,20.71,3.487,4.192,0.44,24.0,양품
LOT-2026-1203,2026-08-03 13:06:00,3호기,주간,129.9,116.6,1424.0,21.91,3.443,4.188,0.474,23.4,양품
LOT-2026-1203,2026-08-03 13:09:00,4호기,주간,134.2,122.6,1365.0,19.81,3.53,4.179,0.441,47.7,불량
LOT-2026-1203,2026-08-03 13:12:00,1호기,주간,132.3,118.2,1439.0,20.69,3.544,4.196,0.445,24.0,양품
LOT-2026-1203,2026-08-03 13:15:00,2호기,주간,133.3,115.6,1435.0,21.8,3.484,4.196,0.428,24.5,양품
LOT-2026-1203,2026-08-03 13:18:00,3호기,주간,135.1,120.2,1516.0,20.93,3.503,4.183,0.425,23.3,양품
LOT-2026-1203,2026-08-03 13:21:00,4호기,주간,130.9,116.6,1431.0,20.9,3.521,4.194,0.442,35.9,양품
LOT-2026-1203,2026-08-03 13:24:00,1호기,주간,131.6,122.9,1393.0,22.02,3.447,4.187,0.438,23.5,양품
LOT-2026-1203,2026-08-03 13:27:00,2호기,주간,131.9,118.8,1486.0,19.54,3.484,4.204,0.417,24.4,불량
LOT-2026-1203,2026-08-03 13:30:00,3호기,주간,132.3,117.1,1504.0,20.84,3.536,4.194,0.439,35.9,양품
LOT-2026-1203,2026-08-03 13:33:00,4호기,주간,134.1,116.8,1507.0,20.75,3.427,4.178,0.452,24.1,양품
LOT-2026-1203,2026-08-03 13:36:00,1호기,주간,130.9,120.0,1456.0,21.18,3.503,4.167,0.409,24.0,양품
LOT-2026-1203,2026-08-03 13:39:00,2호기,주간,133.2,108.1,1420.0,21.4,3.547,4.191,0.435,47.7,양품
LOT-2026-1203,2026-08-03 13:42:00,3호기,주간,132.4,119.4,1358.0,20.82,3.454,4.172,0.387,23.8,양품
LOT-2026-1203,2026-08-03 13:45:00,4호기,주간,131.1,119.3,1587.0,21.32,3.462,4.206,0.425,36.3,양품
LOT-2026-1203,2026-08-03 13:48:00,1호기,주간,131.0,117.6,1447.0,22.68,3.546,4.203,0.441,47.3,불량
LOT-2026-1203,2026-08-03 13:51:00,2호기,주간,128.6,121.4,1469.0,21.31,3.49,4.182,0.422,23.7,양품
LOT-2026-1203,2026-08-03 13:54:00,3호기,주간,133.8,119.1,1564.0,21.75,3.451,4.206,0.407,48.4,양품
LOT-2026-1203,2026-08-03 13:57:00,4호기,주간,133.5,115.9,1478.0,21.16,3.498,4.183,0.386,47.6,양품
LOT-2026-1204,2026-08-03 14:00:00,1호기,주간,131.1,116.6,1415.0,21.55,3.477,4.188,0.412,23.5,양품
LOT-2026-1204,2026-08-03 14:03:00,2호기,주간,129.9,117.8,1385.0,20.58,3.437,4.194,0.41,35.8,양품
LOT-2026-1204,2026-08-03 14:06:00,3호기,주간,132.0,116.6,1404.0,22.41,3.507,4.176,0.415,48.6,불량
LOT-2026-1204,2026-08-03 14:09:00,4호기,주간,129.1,117.1,1554.0,21.92,3.468,4.206,0.397,23.9,양품
LOT-2026-1204,2026-08-03 14:12:00,1호기,주간,132.4,115.9,1478.0,21.5,3.447,4.192,0.406,24.3,양품
LOT-2026-1204,2026-08-03 14:15:00,2호기,주간,133.1,117.5,1399.0,20.6,3.489,4.203,0.408,36.2,양품
LOT-2026-1204,2026-08-03 14:18:00,3호기,주간,134.5,114.4,1433.0,22.25,3.481,4.177,0.443,48.0,양품
LOT-2026-1204,2026-08-03 14:21:00,4호기,주간,131.5,119.4,1470.0,21.78,3.483,4.198,0.408,24.4,양품
LOT-2026-1204,2026-08-03 14:24:00,1호기,주간,134.4,120.9,1537.0,21.51,3.496,4.197,0.445,35.7,양품
LOT-2026-1204,2026-08-03 14:27:00,2호기,주간,135.0,123.7,1403.0,21.38,3.526,4.191,0.383,24.2,양품
LOT-2026-1204,2026-08-03 14:30:00,3호기,주간,132.6,117.0,1519.0,21.38,3.484,4.187,0.395,23.6,양품
LOT-2026-1204,2026-08-03 14:33:00,4호기,주간,133.0,115.5,1419.0,20.49,3.43,4.184,0.421,23.7,양품
LOT-2026-1204,2026-08-03 14:36:00,1호기,주간,131.5,120.5,1375.0,21.3,3.416,4.189,0.422,48.0,양품
LOT-2026-1204,2026-08-03 14:39:00,2호기,주간,128.8,118.0,1467.0,22.09,3.546,4.203,0.437,35.9,불량
LOT-2026-1204,2026-08-03 14:42:00,3호기,주간,127.1,122.3,1394.0,20.97,3.461,4.196,0.424,36.0,양품
LOT-2026-1204,2026-08-03 14:45:00,4호기,주간,127.5,122.5,1367.0,21.08,3.504,4.172,0.423,24.2,양품
LOT-2026-1204,2026-08-03 14:48:00,1호기,주간,134.6,119.4,1459.0,21.23,3.536,4.179,0.425,36.3,양품
LOT-2026-1204,2026-08-03 14:51:00,2호기,주간,131.4,117.6,1448.0,20.54,3.539,4.187,0.415,36.1,양품
LOT-2026-1204,2026-08-03 14:54:00,3호기,주간,133.6,121.7,1464.0,20.96,3.464,4.192,0.462,23.9,양품
LOT-2026-1204,2026-08-03 14:57:00,4호기,주간,133.8,116.6,1422.0,20.94,3.473,4.204,0.41,24.5,양품
LOT-2026-1204,2026-08-03 15:00:00,1호기,주간,132.2,121.2,1530.0,20.24,3.499,4.189,0.397,36.1,양품
LOT-2026-1204,2026-08-03 15:03:00,2호기,주간,132.1,117.2,1371.0,20.6,3.463,4.187,0.443,36.6,양품
LOT-2026-1204,2026-08-03 15:06:00,3호기,주간,132.6,115.8,1532.0,20.29,3.433,4.186,0.428,23.6,불량
LOT-2026-1204,2026-08-03 15:09:00,4호기,주간,132.8,121.6,1475.0,20.51,3.486,4.173,0.411,24.1,양품
LOT-2026-1204,2026-08-03 15:12:00,1호기,주간,133.3,118.5,1428.0,21.61,3.439,4.196,0.424,47.6,양품
LOT-2026-1204,2026-08-03 15:15:00,2호기,주간,130.6,118.5,1462.0,21.21,3.419,4.193,0.408,24.4,양품
LOT-2026-1204,2026-08-03 15:18:00,3호기,주간,131.4,119.9,1408.0,21.48,3.469,4.196,0.405,35.4,양품
LOT-2026-1204,2026-08-03 15:21:00,4호기,주간,131.3,119.8,1476.0,21.15,3.473,4.2,0.437,24.1,양품
LOT-2026-1204,2026-08-03 15:24:00,1호기,주간,127.2,119.4,1397.0,20.92,3.496,4.188,0.425,48.6,양품
LOT-2026-1204,2026-08-03 15:27:00,2호기,주간,132.6,118.6,1639.0,21.28,3.467,4.182,0.414,24.1,양품
LOT-2026-1204,2026-08-03 15:30:00,3호기,주간,132.6,118.7,1463.0,21.24,3.429,4.192,0.425,24.2,양품
LOT-2026-1204,2026-08-03 15:33:00,4호기,주간,135.1,117.3,1446.0,20.01,3.485,4.187,0.4,36.1,불량
LOT-2026-1204,2026-08-03 15:36:00,1호기,주간,133.6,114.5,1454.0,21.13,3.521,4.178,0.413,47.6,불량
LOT-2026-1204,2026-08-03 15:39:00,2호기,주간,130.2,120.7,1466.0,22.18,3.485,4.189,0.392,36.1,양품
LOT-2026-1204,2026-08-03 15:42:00,3호기,주간,133.0,120.2,1476.0,21.19,3.399,4.177,0.412,23.6,양품
LOT-2026-1204,2026-08-03 15:45:00,4호기,주간,132.7,118.3,1500.0,21.1,3.454,4.215,0.417,35.4,양품
LOT-2026-1204,2026-08-03 15:48:00,1호기,주간,131.5,117.3,1496.0,21.23,3.489,4.194,0.424,23.9,양품
LOT-2026-1204,2026-08-03 15:51:00,2호기,주간,132.7,119.2,1438.0,21.51,3.509,4.183,0.412,24.0,양품
LOT-2026-1204,2026-08-03 15:54:00,3호기,주간,131.4,118.6,1378.0,21.01,3.471,4.189,0.389,36.0,양품
LOT-2026-1204,2026-08-03 15:57:00,4호기,주간,129.6,120.4,1456.0,21.96,3.464,4.187,0.433,47.5,양품
LOT-2026-1205,2026-08-03 15:57:00,1호기,주간,132.4,118.4,1416.0,21.87,3.549,4.201,0.441,47.4,양품
LOT-2026-1205,2026-08-03 15:57:00,2호기,주간,132.6,119.5,1493.0,21.18,3.415,4.204,0.469,35.6,양품
LOT-2026-1205,2026-08-03 15:57:00,3호기,주간,130.7,120.6,1508.0,21.48,3.45,4.182,0.399,23.8,양품
LOT-2026-1205,2026-08-03 16:09:00,4호기,주간,130.8,117.2,1530.0,21.61,3.495,4.187,0.406,36.0,양품
LOT-2026-1205,2026-08-03 16:12:00,1호기,주간,135.1,114.4,1443.0,22.25,3.552,4.178,0.392,36.3,불량
LOT-2026-1205,2026-08-03 16:15:00,2호기,주간,132.2,117.2,1453.0,20.99,3.485,4.166,0.402,24.1,양품
LOT-2026-1205,2026-08-03 16:18:00,3호기,주간,132.5,117.7,1459.0,21.56,3.467,4.209,0.411,24.8,양품
LOT-2026-1205,2026-08-03 16:21:00,4호기,주간,132.9,115.5,1547.0,21.78,3.478,4.219,0.423,24.1,양품
